"","A.q103_district","herbi_1st_use","V1","distcount","firstusecount","percent","cumulative_percent","pred"
"88","Arwal",2025,NA,NA,NA,NA,NA,96.6564291030273
"89","Arwal",2026,NA,NA,NA,NA,NA,97.5082605919679
"90","Arwal",2027,NA,NA,NA,NA,NA,98.147233474967
"91","Arwal",2028,NA,NA,NA,NA,NA,98.624661563096
"92","Arwal",2029,NA,NA,NA,NA,NA,98.9803422434987
"93","Arwal",2030,NA,NA,NA,NA,NA,99.244743604201
"94","Aurangabad",2000,9,27,6,22.2222222222222,25.9259259259259,17.3669136472959
"95","Aurangabad",2001,NA,NA,NA,NA,NA,19.9328737890737
"96","Aurangabad",2002,NA,NA,NA,NA,NA,22.7734697153302
"97","Aurangabad",2003,NA,NA,NA,NA,NA,25.8879876061608
"98","Aurangabad",2004,33,27,1,3.7037037037037,29.6296296296296,29.2670267746899
"99","Aurangabad",2005,38,27,2,7.40740740740741,37.037037037037,32.8913753786336
"100","Aurangabad",2006,NA,NA,NA,NA,NA,36.7314772753533
"101","Aurangabad",2007,NA,NA,NA,NA,NA,40.7476899475736
"102","Aurangabad",2008,63,27,1,3.7037037037037,40.7407407407407,44.8914535309825
"103","Aurangabad",2009,NA,NA,NA,NA,NA,49.1073662784386
"104","Aurangabad",2010,81,27,3,11.1111111111111,51.8518518518518,53.3360139050137
"105","Aurangabad",2011,NA,NA,NA,NA,NA,57.5172632040603
"106","Aurangabad",2012,NA,NA,NA,NA,NA,61.5936405175925
"107","Aurangabad",2013,133,27,1,3.7037037037037,55.5555555555556,65.513398821302
"108","Aurangabad",2014,NA,NA,NA,NA,NA,69.2329383085382
"109","Aurangabad",2015,181,27,3,11.1111111111111,66.6666666666667,72.7183666048029
"110","Aurangabad",2016,215,27,2,7.40740740740741,74.0740740740741,75.9461326390834
"111","Aurangabad",2017,247,27,4,14.8148148148148,88.8888888888889,78.9028061889398
"112","Aurangabad",2018,277,27,1,3.7037037037037,92.5925925925926,81.5841755132254
"113","Aurangabad",2019,NA,NA,NA,NA,NA,83.9938859380406
"114","Aurangabad",2020,NA,NA,NA,NA,NA,86.1418454664695
"115","Aurangabad",2021,NA,NA,NA,NA,NA,88.0425921238694
"116","Aurangabad",2022,NA,NA,NA,NA,NA,89.7137679936461
"117","Aurangabad",2023,NA,NA,NA,NA,NA,91.1747911793806
"118","Aurangabad",2024,NA,NA,NA,NA,NA,92.4457692166645
"119","Aurangabad",2025,NA,NA,NA,NA,NA,93.5466608048627
"120","Aurangabad",2026,NA,NA,NA,NA,NA,94.4966682400356
"121","Aurangabad",2027,NA,NA,NA,NA,NA,95.3138292323833
"122","Aurangabad",2028,NA,NA,NA,NA,NA,96.0147713848027
"123","Aurangabad",2029,NA,NA,NA,NA,NA,96.614592821929
"124","Aurangabad",2030,NA,NA,NA,NA,NA,97.1268359809411
"125","Banka",2000,10,43,3,6.97674418604651,6.97674418604651,0.762556152014729
"126","Banka",2001,NA,NA,NA,NA,NA,1.02980513080749
"127","Banka",2002,NA,NA,NA,NA,NA,1.38940409688174
"128","Banka",2003,NA,NA,NA,NA,NA,1.87219652755868
"129","Banka",2004,34,43,1,2.32558139534884,9.30232558139535,2.51846592339495
"130","Banka",2005,NA,NA,NA,NA,NA,3.38013853532909
"131","Banka",2006,NA,NA,NA,NA,NA,4.52294662859846
"132","Banka",2007,NA,NA,NA,NA,NA,6.02802671418327
"133","Banka",2008,NA,NA,NA,NA,NA,7.9920220607251
"134","Banka",2009,72,43,1,2.32558139534884,11.6279069767442,10.5242444715957
"135","Banka",2010,82,43,2,4.65116279069767,16.2790697674419,13.7389804780438
"136","Banka",2011,NA,NA,NA,NA,NA,17.7409870743191
"137","Banka",2012,115,43,2,4.65116279069767,20.9302325581395,22.6032696377701
"138","Banka",2013,134,43,1,2.32558139534884,23.2558139534884,28.3390636247483
"139","Banka",2014,155,43,3,6.97674418604651,30.2325581395349,34.8745242844462
"140","Banka",2015,182,43,6,13.953488372093,44.1860465116279,42.033122662681
"141","Banka",2016,216,43,4,9.30232558139535,53.4883720930233,49.5433015960118
"142","Banka",2017,248,43,3,6.97674418604651,60.4651162790698,57.0741462086845
"143","Banka",2018,278,43,1,2.32558139534884,62.7906976744186,64.2911244791367
"144","Banka",2019,304,43,3,6.97674418604651,69.7674418604651,70.9131085513097
"145","Banka",2020,NA,NA,NA,NA,NA,76.7511567131962
"146","Banka",2021,NA,NA,NA,NA,NA,81.7195108280595
"147","Banka",2022,NA,NA,NA,NA,NA,85.8222424111956
"148","Banka",2023,NA,NA,NA,NA,NA,89.1267049367731
"149","Banka",2024,NA,NA,NA,NA,NA,91.7351542550126
"150","Banka",2025,NA,NA,NA,NA,NA,93.761648718786
"151","Banka",2026,NA,NA,NA,NA,NA,95.3166255367842
"152","Banka",2027,NA,NA,NA,NA,NA,96.498482177556
"153","Banka",2028,NA,NA,NA,NA,NA,97.3902613110393
"154","Banka",2029,NA,NA,NA,NA,NA,98.05948617961
"155","Banka",2030,NA,NA,NA,NA,NA,98.5596373284981
"156","Begusarai",2000,11,53,2,3.77358490566038,7.54716981132075,0.616211358872049
