"","xmid","scale","xmid_Estimate","xmid_Std..Error","xmid_t.value","xmid_Pr...t..","xmid_Estimate.1","xmid_Std..Error.1","xmid_t.value.1","xmid_Pr...t...1","Slopes","Intercept","Year10percent","Year90percent","Years10_90"
"Kaimur",2015.05371891556,3.27504469106145,2015.05371891556,0.31172344706995,6464.23532735856,5.59957243077348e-25,3.27504469106145,0.469935659131833,6.96913423661407,0.000217447700309457,0.305339344751322,-615.275182172392,2007.84862059522,2022.2588172359,14.4101966406708
"Sitamarhi",2014.38861145194,3.32659897978718,2014.38861145194,0.235546832853847,8551.96644780123,4.14929064143071e-19,3.32659897978718,0.313982204877145,10.594864702886,0.000129491801601348,0.300607318788986,-605.539959487638,2007.07009369641,2021.70712920748,14.6370355110637
"Bhagalpur",2015.34178139663,3.66621538505557,2015.34178139663,0.218817609842694,9210.14438849524,5.60319790645692e-36,3.66621538505557,0.260124561642674,14.0940761683695,6.35244073563304e-08,0.272760843259852,-549.706323750557,2007.2761075495,2023.40745524375,16.1313476942448
"Siwan",2015.85391486475,3.82500138517789,2015.85391486475,0.286225077912155,7042.89760201739,5.53089469743354e-22,3.82500138517789,0.418324601287338,9.14362046460323,9.62751112945601e-05,0.261437813820162,-527.020440483057,2007.43891181736,2024.26891791215,16.8300060947831
"Patna",2014.20945391587,3.23028833979058,2014.20945391587,0.315565202493967,6382.86299629116,9.98183688560931e-22,3.23028833979058,0.433445236607934,7.45258700976908,0.00030085992109584,0.30956988813724,-623.538595333708,2007.10281956833,2021.31608826341,14.2132686950788
"Madhepura",2016.73051680155,2.32157462270187,2016.73051680155,0.159848609687153,12616.5033324255,1.74464025979402e-30,2.32157462270187,0.184475398170557,12.5847383755499,1.49069156061639e-06,0.430742130888816,-868.690800235604,2011.62305263161,2021.8379809715,10.2149283398885
"Muzaffarpur",2015.52246789096,2.52488595368515,2015.52246789096,0.249271231371454,8085.66017346586,3.44692016102335e-32,2.52488595368515,0.301837020869972,8.36506385601002,1.54702342855701e-05,0.396057492632675,-798.262774977715,2009.96771879285,2021.07721698907,11.1094981962149
"Munger",2014.59565597166,2.6274484404091,2014.59565597166,0.222751446290171,9044.14175316875,1.25766330642923e-32,2.6274484404091,0.286592684579084,9.167883835793,7.33817403476459e-06,0.380597382852657,-766.749834169145,2008.81526940276,2020.37604254056,11.5607731378004
"Araria",2012.34643061674,6.35744271536487,2012.34643061674,0.981214897918935,2050.87227567044,2.55655141741578e-10,6.35744271536487,1.25799511412932,5.05363068899118,0.0149483996655429,0.157295951339549,-316.533946228605,1998.36005664294,2026.33280459054,27.9727479476053
"Supaul",2015.7025566284,1.78018517915511,2015.7025566284,0.118993143275578,16939.6530013516,1.36075925382639e-20,1.78018517915511,0.140846221345427,12.6392114900206,5.50818663987204e-05,0.561739313252011,-1132.29936988076,2011.78614923426,2019.61896402254,7.83281478828258
"Khagaria",2015.54252074613,2.71831803127331,2015.54252074613,0.240641250591435,8375.71495241338,1.44837631075238e-35,2.71831803127331,0.288305045202988,9.42861762741408,2.71830269856804e-06,0.367874541718572,-741.466781133779,2009.56222107733,2021.52282041493,11.9605993376028
"Begusarai",2015.14649545151,2.97974341413414,2015.14649545151,0.227058901059451,8874.99448842961,2.82086320939135e-42,2.97974341413414,0.273874858899802,10.8799450453548,1.42935242758818e-07,0.335599365789883,-676.281885847234,2008.59105994042,2021.70193096261,13.1108710221904
"Katihar",2014.97377801677,2.39640229438385,2014.97377801677,0.268617307181347,7501.2805360916,3.78870861145925e-22,2.39640229438385,0.35472052757274,6.75574743526068,0.000513141980212369,0.417292206047196,-840.832852955872,2009.70169296913,2020.24586306442,10.5441700952892
"Rohtas",2013.61033865725,3.6450463101169,2013.61033865725,0.180350300982025,11164.9957205114,3.73768120836116e-40,3.6450463101169,0.211698446215284,17.2181061093387,2.64766777405833e-09,0.27434493691465,-552.423801329611,2005.59123677499,2021.62944053951,16.0382037645147
"Nalanda",2014.24096385065,3.64834839684357,2014.24096385065,0.247694863148931,8131.94483827286,8.05500793054983e-42,3.64834839684357,0.290078248559936,12.577118122284,2.8604873801727e-08,0.274096629824379,-552.096659845672,2006.21459737759,2022.2673303237,16.052732946112
"Lakhisarai",2014.34763638492,3.04919573134169,2014.34763638492,0.246082422699691,8185.66240646594,1.82205713940663e-35,3.04919573134169,0.289176988989854,10.5443926987174,9.75811410272848e-07,0.327955332523041,-660.616048907618,2007.63940577597,2021.05586699387,13.4164612179038
"Jehanabad",2015.10867710844,3.51918370182133,2015.10867710844,0.332958558615293,6052.13058792923,3.73264886887332e-34,3.51918370182133,0.372690623594577,9.44264083673217,2.68189372528099e-06,0.284156805875879,-572.606845179902,2007.36647296443,2022.85088125245,15.4844082880143
"Buxar",2013.93891496958,2.31271759053787,2013.93891496958,0.166965914875038,12061.9763409608,7.10961085616236e-27,2.31271759053787,0.194569470358004,11.8863333815039,6.77751972783421e-06,0.432391747306869,-870.810566412996,2008.8509362704,2019.02689366876,10.1759573983668
