"","A.q103_district","distcount","herbi_1st_use","firstusecount","percent","cumulative_percent"
"152","Supaul",19,2013,1,5.26315789473684,15.7894736842105
"153","Arah",32,2014,2,6.25,34.375
"154","Arwal",23,2014,1,4.34782608695652,43.4782608695652
"155","Banka",43,2014,3,6.97674418604651,30.2325581395349
"156","Begusarai",53,2014,2,3.77358490566038,32.0754716981132
"157","Buxar",27,2014,2,7.40740740740741,44.4444444444444
"158","EastChamparan",41,2014,1,2.4390243902439,43.9024390243902
"159","Gaya",29,2014,2,6.89655172413793,41.3793103448276
"160","Gopalganj",21,2014,3,14.2857142857143,38.0952380952381
"161","Kaimur",29,2014,2,6.89655172413793,34.4827586206897
"162","Katihar",20,2014,2,10,35
"163","Khagaria",43,2014,2,4.65116279069767,25.5813953488372
"164","Lakhisarai",46,2014,3,6.52173913043478,39.1304347826087
"165","Madhepura",34,2014,2,5.88235294117647,23.5294117647059
"166","Munger",49,2014,3,6.12244897959184,38.7755102040816
"167","Muzaffarpur",51,2014,4,7.84313725490196,25.4901960784314
"168","Nalanda",42,2014,3,7.14285714285714,42.8571428571429
"169","Patna",12,2014,1,8.33333333333333,41.6666666666667
"170","Rohtas",46,2014,7,15.2173913043478,54.3478260869565
"171","Saharsa",33,2014,1,3.03030303030303,15.1515151515152
"172","Samastipur",20,2014,1,5,30
"173","Saran",21,2014,1,4.76190476190476,23.8095238095238
"174","Sheohar",29,2014,4,13.7931034482759,34.4827586206897
"175","Siwan",23,2014,3,13.0434782608696,39.1304347826087
"176","Supaul",19,2014,2,10.5263157894737,26.3157894736842
"177","Vaishali",16,2014,1,6.25,56.25
"178","WestChamparan",11,2014,1,9.09090909090909,36.3636363636364
"179","Arah",32,2015,6,18.75,53.125
"180","Arwal",23,2015,2,8.69565217391304,52.1739130434783
"181","Aurangabad",27,2015,3,11.1111111111111,66.6666666666667
"182","Banka",43,2015,6,13.953488372093,44.1860465116279
"183","Begusarai",53,2015,10,18.8679245283019,50.9433962264151
"184","Bhagalpur",42,2015,6,14.2857142857143,47.6190476190476
"185","Buxar",27,2015,5,18.5185185185185,62.962962962963
"186","Darbhanga",5,2015,2,40,40
"187","EastChamparan",41,2015,2,4.8780487804878,48.780487804878
"188","Gaya",29,2015,4,13.7931034482759,55.1724137931034
"189","Gopalganj",21,2015,1,4.76190476190476,42.8571428571429
"190","Jehanabad",30,2015,2,6.66666666666667,36.6666666666667
"191","Kaimur",29,2015,5,17.2413793103448,51.7241379310345
"192","Katihar",20,2015,3,15,50
"193","Khagaria",43,2015,8,18.6046511627907,44.1860465116279
"194","Lakhisarai",46,2015,9,19.5652173913043,58.695652173913
"195","Madhepura",34,2015,3,8.82352941176471,32.3529411764706
"196","Madhubani",18,2015,2,11.1111111111111,27.7777777777778
"197","Munger",49,2015,5,10.2040816326531,48.9795918367347
"198","Muzaffarpur",51,2015,11,21.5686274509804,47.0588235294118
"199","Nalanda",42,2015,5,11.9047619047619,54.7619047619048
"200","Nawada",27,2015,6,22.2222222222222,44.4444444444444
"201","Patna",12,2015,2,16.6666666666667,58.3333333333333
"202","Rohtas",46,2015,4,8.69565217391304,63.0434782608696
"203","Saharsa",33,2015,5,15.1515151515152,30.3030303030303
"204","Samastipur",20,2015,1,5,35
"205","Saran",21,2015,1,4.76190476190476,28.5714285714286
"206","Sheohar",29,2015,2,6.89655172413793,41.3793103448276
"207","Sitamarhi",29,2015,4,13.7931034482759,55.1724137931034
"208","Siwan",23,2015,1,4.34782608695652,43.4782608695652
"209","Supaul",19,2015,3,15.7894736842105,42.1052631578947
"210","Vaishali",16,2015,1,6.25,62.5
"211","WestChamparan",11,2015,2,18.1818181818182,54.5454545454545
"212","Arah",32,2016,2,6.25,59.375
"213","Araria",9,2016,1,11.1111111111111,55.5555555555556
"214","Arwal",23,2016,2,8.69565217391304,60.8695652173913
"215","Aurangabad",27,2016,2,7.40740740740741,74.0740740740741
"216","Banka",43,2016,4,9.30232558139535,53.4883720930233
"217","Begusarai",53,2016,3,5.66037735849057,56.6037735849057
"218","Bhagalpur",42,2016,2,4.76190476190476,52.3809523809524
"219","Buxar",27,2016,3,11.1111111111111,74.0740740740741
"220","Darbhanga",5,2016,2,40,80
"221","EastChamparan",41,2016,5,12.1951219512195,60.9756097560976
"222","Gaya",29,2016,2,6.89655172413793,62.0689655172414
"223","Gopalganj",21,2016,3,14.2857142857143,57.1428571428571
"224","Jehanabad",30,2016,4,13.3333333333333,50
"225","Kaimur",29,2016,3,10.3448275862069,62.0689655172414
